ABBIE,4459324721
ADAM,2167175490
AIMEE,1116663218
ALEX,2367939538
ALEXANDER,8309120687
ALEXANDRA,3635529370
ALFIE,5624747609
ALICIA,6384706485
ALISHA,9400441161
AMELIE,8212946966
ANNA,7588556361
ARCHIE,9321158068
BENJAMIN,8358572424
BETHANY,3953674216
CALLUM,9437229186
CAMERON,4322428028
CHARLIE,4202888546
CONNOR,3509538362
COURTNEY,1756112915
DANIEL,6765020668
DYLAN,8941295402
EDWARD,4589169820
ELEANOR,1765685881
EMILIA,1297683681
ESME,8577802619
ETHAN,8500165070
EVE,4250048171
EVELYN,6767851199
FAITH,8256132897
FINLEY,8491088500
FLORENCE,9074478291
FRANCESCA,2619049347
GEORGE,7693180336
GEORGIA,8592773633
GRACIE,8732705297
HARRIET,2227697130
HARRISON,2000570170
HARRY,8514258441
HARVEY,6722581714
HENRY,3355996714
HOLLIE,1103510804
ISAAC,6622017636
ISOBEL,8029173181
JACK,2782600592
JACOB,9454725559
JAKE,8246283274
JAMES,2974819107
JAYDEN,3503121265
JOSEPH,3442328609
JOSHUA,9952900378
JULIA,5638402650
LACEY,2427263920
LAUREN,1310414075
LAYLA,5763434310
LEO,6535695297
LEWIS,5408561265
LEXI,6572130964
LEXIE,1826516883
LIAM,4640267984
LIBBY,6111624661
LOGAN,2778053093
LUCAS,6342840354
LUKE,2491909793
LYDIA,6290855577
MADDISON,2254822766
MADISON,4617533753
MAISIE,6858635616
MARIA,2051913427
MARTHA,1755246468
MARYAM,1408568779
MATTHEW,5577313423
MAX,2125300213
MAYA,6969145663
MOHAMMED,3224979520
MUHAMMAD,1701634624
NATHAN,2744414869
NIAMH,9798453207
NICOLE,5318984829
NOAH,7789532322
OLIVER,9869176055
OSCAR,9346517920
OWEN,6487928637
PAIGE,9312683555
REBECCA,6967769238
RHYS,8997541165
RILEY,7497695682
ROSIE,4896576169
RYAN,4831464605
SAMUEL,8197621186
SARAH,2240647659
SIENNA,1215101975
SKYE,8165342262
SOFIA,2614655776
THOMAS,4728069109
TIA,7236789884
TILLY,5363973812
TYLER,2630706079
WILLIAM,7600922171
ZARA,6451216733
ZOE,5983225879
